aX,aY,aZ,gX,gY,gZ
-1.919,-1.615,-2.341,-210.876,641.174,-635.803
-1.988,-2.533,-2.380,-305.786,526.001,-694.824
-2.252,-3.756,-2.153,-411.987,394.714,-698.547
-2.299,-4.000,-1.636,-446.045,263.062,-697.632
-2.110,-4.000,-0.869,-426.270,132.935,-614.441
-1.790,-4.000,-0.311,-333.313,43.396,-443.909
-1.610,-4.000,-0.034,-226.074,10.193,-197.449
-1.696,-4.000,0.120,-135.193,-9.705,99.548
-1.901,-4.000,-0.043,-45.776,-19.348,377.319
-2.031,-2.965,-0.246,14.587,-35.889,586.487
-2.077,-1.490,-0.360,70.068,-72.510,723.755
-2.028,-0.263,-0.351,138.794,-140.076,803.894
-2.078,0.839,-0.030,207.458,-243.652,851.013
-2.322,1.853,0.689,278.687,-359.985,904.663
-2.665,2.824,1.727,389.099,-479.980,898.743
-2.958,3.538,3.136,496.948,-603.149,772.827
-2.786,3.992,4.000,516.296,-668.213,607.605
-2.543,4.000,4.000,445.129,-619.690,401.306
-2.056,3.842,4.000,315.613,-476.868,178.650
-1.783,3.211,4.000,188.354,-260.986,-24.414
-1.913,1.365,4.000,10.132,-52.063,-210.571
-1.126,0.502,4.000,-67.261,62.622,-277.405
-1.039,0.303,3.928,54.321,253.784,-226.196
-1.037,0.288,2.412,67.993,447.205,-210.754
-1.074,0.193,0.868,74.097,575.378,-226.990
-0.967,-0.007,-0.355,65.247,618.286,-255.493
-0.728,-0.357,-1.473,46.082,606.628,-296.692
-0.560,-0.968,-2.407,14.954,583.313,-368.774
-0.527,-1.858,-3.037,-114.319,526.550,-479.797
-0.869,-3.070,-3.399,-294.250,439.514,-604.980
-1.119,-4.000,-3.099,-536.804,317.627,-611.389
-0.921,-4.000,-1.786,-615.540,174.927,-590.759
-1.146,-4.000,-1.480,-401.855,-11.292,-423.767
-0.935,-4.000,-0.651,-453.186,-25.391,-282.166
-0.909,-4.000,-0.222,-319.824,-67.871,-30.212
-1.198,-4.000,-0.156,-207.458,-103.699,268.677
-1.681,-2.414,-0.042,-47.913,-171.692,545.898
-2.286,-0.442,0.219,151.733,-276.367,762.329
-3.198,1.167,0.831,379.150,-430.237,907.410
-3.527,2.194,1.928,564.819,-613.708,998.779
-3.898,2.250,2.828,612.915,-737.061,865.173
-3.925,1.792,4.000,474.060,-826.843,613.892
-3.460,1.652,4.000,395.691,-790.710,538.818
-2.854,1.663,4.000,320.435,-572.876,458.557
-2.284,1.760,4.000,229.309,-248.352,368.530
-2.089,2.023,4.000,149.536,127.869,280.762
-1.951,2.207,4.000,72.571,460.388,182.556
-1.874,2.061,2.278,-22.217,695.801,43.396
-1.690,1.644,0.490,-114.746,836.548,-121.582
-1.616,1.020,-1.055,-214.966,892.273,-293.579
-1.540,0.106,-2.310,-360.718,875.793,-474.365
-1.587,-1.116,-3.278,-507.080,807.983,-658.264
-1.875,-2.829,-3.985,-649.597,658.875,-858.643
-2.184,-4.000,-4.000,-737.915,451.477,-886.414
-1.674,-4.000,-3.383,-722.168,148.010,-759.338
-1.237,-4.000,-1.898,-592.285,-130.310,-597.229
-0.882,-4.000,-0.609,-435.242,-289.551,-315.735
-1.140,-4.000,-0.356,-175.781,-345.886,56.702
-1.249,-3.330,0.717,-135.254,-341.553,283.875
-1.555,-1.877,0.941,-38.696,-357.056,455.444
-2.007,-0.528,1.070,65.918,-373.962,596.069
-2.507,0.583,1.413,203.430,-425.110,687.134
-3.066,0.853,1.946,322.998,-508.606,731.018
-2.959,1.007,3.480,332.275,-598.999,640.198
-2.801,1.187,4.000,376.465,-609.070,607.361
-2.395,1.346,4.000,335.937,-518.311,543.274
-1.938,1.489,4.000,267.334,-340.515,461.853
-1.605,1.714,4.000,190.125,-101.013,374.878
-1.458,1.959,4.000,118.469,156.494,283.264
-1.302,2.044,3.270,27.954,377.441,184.143
-1.130,1.809,1.784,-62.439,529.785,47.058
-0.983,1.323,0.570,-138.611,598.999,-124.329
-0.776,0.707,-0.430,-206.909,619.202,-274.963
-0.643,-0.047,-1.254,-279.114,593.567,-406.982
-0.468,-0.931,-1.906,-337.280,534.485,-523.437
-0.575,-1.996,-2.424,-385.925,442.566,-644.531
-0.405,-3.206,-2.616,-461.243,313.232,-645.386
-0.551,-4.000,-2.672,-462.219,162.048,-562.805
-0.448,-4.000,-2.037,-386.597,-26.978,-414.978
-0.567,-4.000,-1.041,-254.333,-199.219,-205.383
-0.729,-4.000,0.068,-124.817,-313.232,31.799
-1.205,-3.147,0.740,8.423,-352.844,258.911
-1.476,-1.863,1.244,107.178,-375.183,419.373
-1.607,-0.803,1.722,180.054,-389.343,508.606
-1.543,0.012,2.212,213.867,-388.733,538.208
-1.293,0.612,2.703,205.627,-362.915,534.363
-1.009,1.053,3.055,178.528,-298.218,477.417
-0.710,1.338,3.239,150.452,-205.566,380.859
-0.476,1.494,3.121,104.736,-97.473,281.250
-0.341,1.527,2.695,40.894,13.733,168.823
-0.245,1.341,2.089,-26.184,106.384,54.077
-0.177,0.932,1.484,-85.938,164.795,-54.016

-1.343,-0.280,1.474,-66.772,-330.627,173.279
-1.583,-0.292,1.978,-77.942,-342.529,162.842
-1.841,-0.384,2.546,-85.205,-349.304,153.259
-2.043,-0.487,3.008,-78.430,-337.830,151.062
-2.177,-0.536,3.381,-78.552,-302.917,153.137
-2.195,-0.503,3.656,-74.524,-241.516,160.767
-2.032,-0.366,3.749,-67.932,-150.024,170.349
-1.847,-0.150,3.525,-62.622,-30.640,174.744
-1.664,-0.014,3.132,-73.608,95.337,167.053
-1.668,0.012,2.862,-131.287,221.313,146.484
-1.556,0.102,2.271,-193.787,357.117,131.531
-1.639,0.150,1.489,-233.643,472.717,109.070
-1.583,0.156,0.834,-242.065,536.499,81.360
-1.370,0.164,0.325,-223.022,564.270,65.369
-0.931,0.181,-0.182,-206.360,570.923,52.795
-0.441,0.194,-0.782,-197.388,572.571,37.781
0.150,0.284,-1.510,-177.917,562.744,28.137
0.665,0.555,-2.564,-117.981,559.937,41.443
0.858,0.807,-3.835,-54.016,544.434,57.251
0.540,0.805,-4.000,-28.931,454.712,36.133
-0.266,0.396,-4.000,-67.322,248.291,-14.160
-0.479,0.211,-4.000,18.677,-56.091,-62.439
-1.297,-0.179,-3.960,111.694,-366.882,-100.342
-2.089,-0.504,-2.512,111.816,-636.719,-128.479
-2.737,-0.720,-0.936,86.975,-819.519,-132.263
-3.369,-0.951,0.301,86.487,-883.911,-112.793
-3.952,-1.174,1.571,50.110,-905.640,-71.533
-4.000,-1.460,2.940,32.654,-925.171,-32.776
-4.000,-1.739,4.000,20.081,-918.945,19.470
-4.000,-1.896,4.000,-7.324,-861.389,83.252
-4.000,-1.709,4.000,-18.188,-695.496,170.532
-3.421,-1.204,4.000,38.757,-433.594,280.518
-3.060,-0.399,4.000,77.148,-116.394,374.939
-2.992,0.343,3.989,96.619,169.189,434.875
-3.078,0.776,2.925,90.210,383.667,443.787
-3.152,0.931,2.025,63.293,527.039,406.067
-2.984,0.994,1.401,11.475,617.859,354.065
-2.737,1.047,0.845,-38.330,684.937,290.771
-2.390,1.172,0.198,-69.153,745.361,226.257
-1.715,1.317,-0.589,-73.975,792.175,157.715
-1.064,1.383,-1.660,-80.994,825.867,78.369
-0.710,1.316,-2.986,-107.849,856.750,-1.831
-0.705,1.095,-4.000,-146.667,839.783,-91.125
-0.794,0.634,-4.000,-219.238,734.741,-187.927
-0.761,-0.213,-4.000,-313.354,481.384,-285.217
-0.691,-1.230,-4.000,-306.580,116.821,-344.299
-1.231,-1.713,-4.000,-216.248,-278.992,-371.094
-1.861,-1.865,-2.979,-140.991,-618.225,-313.110
-2.575,-1.588,-1.226,-72.937,-826.050,-160.950
-3.225,-1.259,0.294,17.151,-940.063,-70.496
-3.779,-1.075,1.736,62.439,-982.239,-15.320
-4.000,-1.197,3.100,84.595,-998.779,4.578
-4.000,-1.422,4.000,32.288,-987.061,17.883
-4.000,-1.581,4.000,-34.912,-901.489,49.927
-4.000,-1.529,4.000,-46.997,-696.045,113.403
-3.975,-1.219,4.000,-31.738,-424.744,191.284
-3.579,-0.662,4.000,-9.583,-115.662,252.441
-3.512,-0.079,4.000,18.372,198.853,287.720
-3.679,0.303,3.937,29.358,467.773,290.161
-3.759,0.580,2.745,47.729,685.303,270.508
-3.732,0.726,1.669,48.950,839.966,229.736
-3.565,0.822,0.732,8.484,941.406,172.485
-3.087,0.884,-0.261,-52.734,1011.230,100.403
-2.492,0.923,-1.441,-130.798,1058.655,13.733
-2.097,0.933,-2.837,-203.125,1099.976,-68.665
-1.881,0.822,-4.000,-267.029,1096.313,-152.893
-1.443,0.484,-4.000,-335.144,992.615,-251.526
-1.064,-0.443,-4.000,-351.929,768.982,-358.154
-0.708,-1.654,-4.000,-398.010,352.966,-440.063
-1.062,-2.718,-4.000,-363.892,-113.342,-487.915
-1.449,-2.975,-3.616,-267.212,-506.042,-375.854
-1.998,-2.813,-1.477,-175.781,-794.373,-216.003
-2.503,-2.433,0.318,-103.821,-917.969,-82.886
-3.102,-2.145,1.628,-45.837,-950.439,32.959
-3.771,-1.847,2.841,4.761,-963.684,133.728
-4.000,-1.584,3.960,65.247,-957.947,219.421
-4.000,-1.337,4.000,65.308,-907.593,274.719
-3.818,-1.036,4.000,34.058,-768.372,310.303
-3.399,-0.679,4.000,24.048,-539.978,328.735
-2.931,-0.212,4.000,5.554,-259.338,330.994
-2.627,0.311,4.000,-8.423,49.255,320.740
-2.418,0.682,4.000,-20.996,332.153,284.485
-2.388,0.895,2.945,-43.396,567.078,217.346
-2.264,0.965,1.769,-73.547,747.559,143.066
-1.972,0.942,0.690,-114.746,867.249,54.199
-1.674,0.867,-0.481,-161.987,949.036,-36.072
-1.347,0.791,-1.780,-203.064,985.962,-117.981
-1.125,0.685,-3.151,-238.342,991.516,-188.293
-0.921,0.457,-4.000,-278.992,921.631,-262.756
-0.634,-0.035,-4.000,-322.937,758.667,-343.201
-0.259,-0.860,-4.000,-354.797,501.465,-417.969
-0.389,-1.794,-4.000,-319.275,168.030,-464.417
-0.853,-2.495,-4.000,-228.821,-204.529,-451.294
-1.238,-2.595,-2.635,-118.164,-532.166,-305.847
-1.969,-2.441,-0.802,-49.072,-764.709,-187.988
-2.897,-2.213,0.810,-3.601,-891.235,-72.388
-3.780,-1.990,2.307,60.486,-968.750,37.415
-4.000,-1.833,3.833,93.872,-1011.353,125.305
-4.000,-1.660,4.000,93.689,-984.436,193.054
-3.649,-1.378,4.000,81.543,-845.947,243.103
-3.164,-1.025,4.000,87.158,-592.957,276.428
-2.661,-0.525,4.000,81.726,-275.024,293.701
-2.300,0.009,4.000,76.782,61.829,297.546
-2.077,0.519,4.000,52.368,374.939,287.598
-1.870,0.919,2.732,39.063,636.780,253.174
-1.692,1.163,1.157,19.409,836.121,198.730
-1.562,1.369,-0.354,-10.925,951.416,132.751
-1.331,1.578,-1.865,-54.077,1000.000,64.697
-1.175,1.674,-3.346,-113.037,1002.502,-14.648
-0.946,1.474,-4.000,-197.266,915.466,-148.254
-0.662,0.744,-4.000,-306.580,724.976,-307.129
-0.504,-0.419,-4.000,-369.873,432.800,-455.627
-0.768,-1.655,-4.000,-329.895,95.093,-541.931
-1.235,-2.402,-3.528,-290.710,-280.884,-564.026
-1.758,-2.729,-1.581,-204.407,-585.083,-403.809
-2.520,-2.759,0.263,-116.455,-796.082,-259.338
-3.334,-2.671,1.918,-47.180,-892.395,-121.094
-3.831,-2.529,3.384,2.197,-930.725,1.831
-3.796,-2.345,4.000,33.630,-892.883,109.131

-2.948,-1.654,4.000,53.345,-567.810,279.175
-2.502,-1.005,4.000,62.439,-314.758,337.891
-1.979,-0.280,4.000,79.285,-42.175,365.967
-1.479,0.351,3.893,85.266,211.670,365.051
-1.056,0.875,2.629,76.904,439.270,336.914
-0.806,1.247,1.256,63.599,630.676,284.607
-0.783,1.476,-0.146,29.541,755.005,218.201
-0.821,1.540,-1.450,-30.029,801.086,113.525
-0.659,1.379,-2.484,-83.130,767.883,-21.606
-0.400,0.781,-3.002,-169.922,645.813,-183.228
-0.310,-0.376,-2.850,-290.649,444.031,-358.093
-0.448,-1.651,-2.080,-351.257,206.604,-512.756
-0.747,-2.797,-0.757,-342.896,-24.231,-599.731
-0.603,-3.431,0.580,-283.508,-167.236,-442.932
-0.438,-3.503,1.563,-162.048,-208.435,-285.583
-0.327,-3.210,2.042,-58.228,-169.495,-119.019
-0.188,-2.676,1.954,13.123,-82.764,31.921
-0.072,-1.836,1.417,48.767,15.991,161.926
0.023,-0.855,0.812,73.059,94.727,265.259
0.161,-0.070,0.246,123.840,141.357,316.956
0.274,0.519,-0.149,128.479,150.085,311.890
0.348,0.885,-0.398,113.220,134.583,274.658
0.477,1.072,-0.456,81.055,102.844,234.375
0.416,1.066,-0.420,49.072,59.265,121.643
0.266,0.789,-0.103,1.282,6.165,-1.709
0.134,0.304,0.367,-42.969,-41.199,-92.590
0.042,-0.203,0.823,-64.209,-71.838,-155.029
-0.004,-0.619,1.196,-63.110,-79.224,-190.125
-0.026,-0.912,1.454,-52.429,-64.636,-205.872
-0.068,-1.101,1.511,-26.611,-27.954,-198.242
-0.078,-1.137,1.471,-7.629,12.695,-142.822
-0.006,-1.091,1.265,1.099,49.011,-104.919
-0.067,-1.020,1.009,-22.827,80.688,-84.717
-0.025,-0.959,0.771,-13.428,93.994,-66.528
0.054,-0.890,0.630,10.132,91.187,-48.401
0.104,-0.828,0.553,25.513,83.191,-35.339
0.120,-0.766,0.471,30.701,75.317,-25.940
0.128,-0.721,0.395,25.452,65.002,-19.348
0.144,-0.684,0.358,25.146,49.438,-15.625
0.155,-0.667,0.381,34.363,31.555,-15.015
0.154,-0.683,0.448,33.508,18.433,-17.883
0.130,-0.715,0.507,28.564,12.146,-21.179
0.122,-0.751,0.529,20.630,11.169,-24.048
0.109,-0.794,0.521,10.193,11.536,-26.855
0.086,-0.844,0.508,1.648,10.071,-29.053
0.063,-0.893,0.507,-3.540,5.920,-30.090
0.093,-0.936,0.518,-5.615,-0.061,-28.564
0.012,-0.996,0.593,-10.559,-7.629,-26.367
-0.043,-1.002,0.609,-9.521,-12.085,-19.470
-0.008,-0.987,0.620,-0.305,-16.968,-6.470
-0.016,-0.956,0.665,4.150,-24.048,3.906
-0.029,-0.903,0.714,9.033,-29.663,13.550
-0.033,-0.839,0.766,13.367,-33.875,21.240
-0.036,-0.777,0.822,15.381,-36.194,24.902
-0.039,-0.722,0.859,14.709,-35.034,24.597
0.078,-0.685,0.889,12.146,-31.677,21.301
-0.080,-0.691,0.949,1.282,-26.855,11.597
-0.098,-0.655,0.910,3.784,-16.418,7.202
-0.031,-0.624,0.867,8.484,-9.521,5.188
-0.021,-0.634,0.833,2.014,-5.432,-2.075
-0.020,-0.660,0.805,-4.272,-2.014,-9.521
-0.003,-0.693,0.794,-4.944,0.427,-14.709
-0.007,-0.730,0.783,-2.197,2.136,-17.883
-0.004,-0.759,0.767,0.244,3.967,-19.409
0.037,-0.813,0.767,-1.221,5.981,-20.447
-0.054,-0.831,0.716,-6.897,9.766,-21.362
0.014,-0.826,0.634,-1.831,13.306,-15.564
0.022,-0.841,0.597,-3.174,10.925,-12.024
0.021,-0.855,0.571,-5.188,7.019,-8.667
0.028,-0.854,0.556,-3.906,1.709,-3.174
0.017,-0.845,0.555,-0.305,-4.028,3.174
0.006,-0.824,0.573,2.686,-10.132,9.644
0.002,-0.796,0.607,5.432,-15.808,15.320
-0.004,-0.768,0.655,6.653,-20.081,19.409
-0.011,-0.737,0.701,7.874,-22.095,22.034
-0.016,-0.704,0.742,9.399,-22.400,23.682
-0.022,-0.669,0.770,10.498,-20.935,24.048
-0.028,-0.640,0.788,10.254,-18.127,22.705
-0.029,-0.620,0.802,7.996,-14.343,19.531
-0.024,-0.608,0.807,5.371,-9.705,14.771
-0.026,-0.607,0.797,2.808,-4.639,9.338
-0.030,-0.608,0.768,0.366,-0.183,4.211
-0.027,-0.616,0.738,-1.526,3.906,-0.916
-0.027,-0.642,0.715,-4.272,6.348,-5.981
-0.019,-0.685,0.707,-6.348,7.080,-11.047
-0.012,-0.731,0.699,-6.592,7.629,-14.099
-0.007,-0.765,0.681,-4.944,8.118,-14.221
-0.006,-0.782,0.657,-2.441,8.057,-11.963
-0.005,-0.789,0.638,0.061,6.836,-8.484
0.000,-0.789,0.631,2.380,4.822,-5.310
0.001,-0.782,0.634,4.456,1.770,-2.563
-0.003,-0.767,0.640,6.165,-1.099,0.549
-0.006,-0.750,0.649,6.531,-2.869,2.930
-0.010,-0.742,0.669,5.615,-4.028,3.662
-0.011,-0.745,0.698,3.418,-4.944,3.113
-0.011,-0.753,0.725,1.648,-4.517,2.258
-0.010,-0.757,0.733,1.099,-3.418,2.136
-0.007,-0.751,0.719,0.793,-1.282,2.930
-0.003,-0.744,0.700,0.244,1.099,3.235
-0.002,-0.741,0.686,-0.366,2.197,2.502
0.001,-0.737,0.676,0.000,2.319,2.075
0.005,-0.733,0.670,0.671,1.709,1.892
0.005,-0.732,0.674,1.587,0.366,1.770
0.005,-0.732,0.685,2.136,-0.977,1.587
0.006,-0.730,0.692,2.380,-1.343,1.587
0.007,-0.732,0.697,2.380,-1.221,1.404
0.011,-0.730,0.697,1.953,-0.916,0.977
0.013,-0.730,0.689,1.465,-0.305,0.916
0.014,-0.725,0.679,1.099,0.244,0.916
0.010,-0.724,0.671,0.427,0.000,0.549
0.010,-0.724,0.667,0.488,-0.549,0.305
0.009,-0.727,0.673,0.732,-1.709,0.122
0.009,-0.732,0.681,0.793,-2.441,-0.183
0.007,-0.737,0.696,1.221,-2.991,-0.122
0.008,-0.740,0.709,1.648,-2.869,0.122
0.010,-0.740,0.719,2.258,-2.563,0.610
0.013,-0.736,0.719,2.197,-1.831,1.282
0.010,-0.725,0.702,1.953,-0.549,1.892
0.010,-0.709,0.680,1.709,0.305,2.319

-0.237,-2.785,0.336,-232.666,-9.338,-123.535
-0.376,-2.934,0.517,-223.022,-20.569,-65.002
-0.523,-2.948,0.640,-196.167,-24.475,5.066
-0.684,-2.865,0.715,-168.152,-27.039,75.562
-0.887,-2.740,0.788,-142.334,-31.799,144.470
-1.076,-2.622,0.886,-113.159,-44.556,214.600
-1.274,-2.349,1.104,-66.040,-69.641,298.462
-1.556,-1.751,1.462,5.615,-112.427,409.912
-1.693,-1.031,1.651,83.801,-150.940,527.649
-2.305,-0.441,1.661,199.463,-204.041,629.395
-2.964,0.020,1.896,317.322,-298.584,703.979
-3.439,0.299,2.466,397.705,-425.659,740.601
-4.000,0.974,3.472,441.528,-544.678,761.169
-4.000,1.469,4.000,447.021,-600.159,759.216
-3.782,2.123,4.000,328.430,-528.320,627.441
-3.007,2.228,4.000,155.457,-309.692,480.347
-2.647,1.975,4.000,20.752,26.978,314.026
-3.197,1.546,4.000,-105.103,403.809,187.317
-3.377,1.166,3.576,-189.636,684.814,90.454
-3.431,0.942,1.919,-215.759,865.295,17.578
-3.296,0.388,-0.047,-222.473,968.567,-37.842
-3.244,-0.257,-0.323,-341.858,967.651,-148.376
-2.593,-0.334,-1.232,-225.830,876.526,-132.324
-2.140,-0.214,-1.858,-23.987,847.290,-20.142
-1.691,-0.114,-2.401,11.902,786.987,17.273
-1.226,0.074,-2.966,63.843,717.468,51.331
-0.957,0.261,-3.611,75.500,663.269,75.439
-0.760,0.288,-4.000,19.653,613.953,61.096
-0.930,0.079,-4.000,-58.899,584.229,19.836
-1.193,-0.456,-4.000,-235.474,508.850,-34.790
-0.875,-1.142,-4.000,-192.505,368.774,-90.271
-0.983,-1.656,-4.000,-245.544,169.739,-119.446
-1.295,-2.194,-4.000,-222.534,-78.125,-140.503
-1.712,-2.728,-4.000,-169.861,-363.037,-132.874
-2.380,-3.005,-3.837,-245.911,-612.976,-71.777
-2.675,-3.005,-2.458,-236.145,-789.551,19.592
-3.086,-2.695,-1.088,-169.495,-887.878,122.742
-3.369,-2.115,0.363,-105.225,-988.586,214.905
-3.785,-1.470,1.738,-19.043,-1035.400,288.025
-4.000,-0.839,3.019,77.759,-1058.167,343.933
-4.000,-0.380,4.000,176.208,-1085.205,380.981
-4.000,-0.104,4.000,231.506,-1081.360,374.329
-4.000,0.022,4.000,232.300,-960.510,312.683
-4.000,0.145,4.000,200.684,-709.351,256.165
-3.724,0.342,4.000,163.025,-347.961,221.497
-3.361,0.512,4.000,99.548,63.660,186.646
-3.128,0.470,4.000,4.089,423.645,137.939
-2.634,0.205,3.027,-57.312,649.597,79.590
-2.098,-0.156,1.342,-82.153,757.935,32.349
-1.544,-0.373,0.134,-72.998,770.264,20.874
-0.954,-0.505,-0.850,-22.156,743.225,42.725
-0.221,-0.436,-1.603,50.537,684.143,86.487
0.164,-0.163,-2.077,96.924,618.408,147.400
0.542,0.272,-2.535,103.271,566.162,194.702
0.696,0.859,-3.242,140.015,546.692,226.074
0.675,1.400,-4.000,150.574,537.109,248.291
0.793,1.691,-4.000,83.252,519.409,208.923
0.640,1.554,-4.000,1.160,434.631,59.814
0.417,1.065,-4.000,-107.422,281.982,-77.881
0.014,0.317,-4.000,-205.200,44.189,-174.255
-0.483,-0.413,-4.000,-228.088,-226.807,-223.755
-0.958,-0.829,-3.982,-188.171,-471.680,-235.352
-1.502,-0.957,-2.384,-168.213,-659.546,-230.347
-2.015,-0.870,-0.771,-159.485,-771.301,-201.233
-2.411,-0.739,0.798,-119.507,-833.740,-152.405
-3.020,-0.479,2.272,-76.050,-875.854,-100.281
-3.653,-0.189,3.852,-23.071,-896.790,-71.838
-3.612,-0.174,4.000,32.776,-875.488,-83.679
-3.797,-0.331,4.000,62.805,-766.357,-114.197
-3.680,-0.486,4.000,87.036,-581.604,-116.333
-3.281,-0.602,4.000,106.201,-328.491,-92.468
-2.971,-0.625,4.000,86.792,-19.653,-62.317
-2.788,-0.459,4.000,45.715,284.790,-34.241
-2.466,-0.275,3.866,15.381,513.733,-16.418
-2.091,-0.123,2.178,-4.883,664.856,-8.423
-1.722,-0.035,0.752,-5.493,743.958,-10.498
-1.349,0.045,-0.444,0.671,768.005,-12.146
-1.004,0.075,-1.503,2.441,756.897,-25.146
-0.575,-0.082,-2.489,-16.296,730.713,-61.584
-0.028,-0.512,-3.544,-81.909,695.190,-129.089
0.112,-1.301,-4.000,-170.593,670.471,-223.206
-0.042,-2.450,-4.000,-301.270,597.839,-310.730
-0.262,-3.786,-4.000,-426.880,424.377,-349.304
-0.362,-4.000,-4.000,-463.623,155.273,-302.490
-0.621,-4.000,-4.000,-340.942,-143.372,-175.171
-1.192,-4.000,-3.822,-187.134,-424.622,10.559
-1.589,-3.299,-2.072,-85.205,-617.493,198.853
-1.895,-1.940,-0.664,-26.123,-705.933,324.951
-2.197,-0.823,0.463,-1.465,-723.694,385.681
-2.594,0.162,1.506,21.667,-721.680,415.649
-3.263,0.939,2.803,72.388,-748.535,434.814
-3.766,1.654,4.000,138.000,-782.837,396.057
-3.464,1.990,4.000,197.083,-759.033,308.411
-3.024,1.880,4.000,187.195,-607.056,166.565
-2.756,1.549,4.000,114.563,-334.900,44.556
-2.676,1.173,4.000,50.293,-7.080,-23.560
-2.544,0.824,4.000,0.366,291.504,-59.937
-2.226,0.496,3.681,-18.555,492.126,-81.665
-1.817,0.243,2.131,-11.047,604.492,-90.454
-1.448,0.094,0.833,25.024,654.785,-85.022
-1.011,0.093,-0.276,58.533,668.396,-63.232
-0.634,0.141,-1.267,80.750,649.048,-46.082
-0.403,0.120,-2.085,87.585,607.056,-58.167
-0.054,-0.128,-2.689,77.454,529.541,-101.685
0.326,-0.694,-3.092,32.959,429.016,-170.288
0.538,-1.508,-3.338,-23.804,330.811,-247.681
0.492,-2.512,-3.326,-73.486,221.802,-313.904
0.516,-3.375,-2.982,-113.037,94.177,-279.846
0.494,-3.788,-2.307,-106.995,-24.597,-198.425
0.450,-3.484,-1.402,-71.899,-126.038,-74.341
0.395,-2.566,-0.566,-21.851,-188.843,53.650
0.305,-1.484,0.052,12.817,-202.087,146.118
0.252,-0.577,0.470,24.780,-195.984,185.120
0.221,-0.011,0.775,27.222,-182.129,173.157
0.241,0.206,1.056,19.958,-164.429,134.155
0.271,0.169,1.294,9.277,-141.785,79.163
0.271,-0.040,1.462,-3.784,-113.586,26.001
0.273,-0.305,1.514,-15.442,-80.444,-5.737
0.297,-0.544,1.489,-22.949,-49.683,-18.799

1.158,-1.351,-0.104,-117.920,0.488,19.287
1.194,-1.366,-0.385,-145.203,9.521,29.541
1.109,-1.391,-0.688,-171.631,9.216,37.659
0.951,-1.438,-0.953,-197.937,-7.996,44.922
0.727,-1.504,-1.089,-214.172,-48.645,57.373
0.484,-1.594,-1.063,-220.154,-106.018,75.867
0.262,-1.648,-0.822,-211.548,-170.349,102.905
0.028,-1.647,-0.497,-170.593,-230.835,140.320
-0.218,-1.447,0.023,-119.019,-280.151,181.885
-0.317,-1.150,0.430,-41.138,-323.853,228.027
-0.461,-0.918,0.702,-53.345,-325.989,247.192
-0.666,-0.730,0.746,-65.857,-301.880,252.014
-0.766,-0.556,0.604,-74.768,-282.471,255.066
-0.853,-0.440,0.592,-76.355,-283.142,255.615
-1.098,-0.352,0.687,-74.829,-294.739,251.770
-1.263,-0.214,0.845,-62.927,-308.655,253.357
-1.375,-0.064,1.036,-39.429,-323.853,258.484
-1.500,0.093,1.307,-15.686,-338.257,262.024
-1.627,0.229,1.585,16.541,-348.999,265.564
-1.757,0.355,1.894,51.086,-354.431,270.447
-1.863,0.488,2.226,87.097,-354.553,277.039
-1.995,0.596,2.576,119.812,-345.764,278.931
-2.056,0.742,2.925,146.851,-324.707,274.353
-2.174,0.899,3.212,172.241,-289.490,264.160
-2.245,1.015,3.443,188.599,-245.544,246.033
-2.255,1.061,3.676,184.692,-197.693,214.722
-2.226,1.029,3.895,159.119,-139.587,169.067
-2.132,0.885,4.000,116.150,-63.721,111.572
-2.051,0.647,3.936,54.932,31.860,48.523
-2.007,0.367,3.531,-10.620,138.672,-8.911
-1.971,0.044,2.927,-70.313,235.901,-60.852
-1.972,-0.358,2.366,-110.535,310.303,-108.276
-1.959,-0.783,1.948,-134.766,356.323,-139.404
-1.917,-1.147,1.654,-142.761,381.042,-145.996
-1.862,-1.398,1.361,-138.489,403.198,-127.380
-1.818,-1.472,1.070,-135.071,426.331,-87.708
-1.759,-1.400,0.710,-109.863,449.768,-37.476
-1.691,-1.237,0.350,-76.660,466.187,12.878
-1.627,-1.016,0.015,-43.091,473.694,58.838
-1.496,-0.787,-0.270,-12.695,473.328,97.473
-1.296,-0.560,-0.539,10.315,469.727,126.404
-1.120,-0.335,-0.797,22.888,472.595,145.630
-0.647,-0.067,-1.139,21.606,481.873,157.349
-0.401,-0.148,-1.749,13.733,507.080,153.198
-0.038,0.165,-2.681,132.507,557.129,177.795
-0.077,0.836,-3.789,173.950,599.243,227.722
-0.387,1.441,-4.000,170.227,635.437,248.779
-0.595,2.135,-4.000,135.376,616.333,252.869
-0.633,2.752,-4.000,130.127,457.214,156.921
-0.844,2.972,-4.000,122.253,190.979,9.766
-1.447,2.444,-4.000,99.304,-140.564,-161.621
-2.223,1.268,-4.000,64.148,-446.533,-325.684
-2.834,0.182,-2.909,-15.869,-659.607,-429.626
-3.203,-0.532,-1.392,-126.221,-766.235,-466.370
-3.437,-0.926,-0.192,-175.232,-802.612,-470.764
-3.449,-1.255,0.733,-187.134,-787.781,-421.265
-3.526,-1.298,1.432,-174.438,-772.949,-320.801
-3.769,-1.255,2.108,-149.902,-766.602,-257.019
-4.000,-1.305,2.953,-137.634,-779.053,-216.125
-4.000,-1.277,4.000,-149.536,-803.650,-172.546
-4.000,-1.110,4.000,-89.172,-808.350,-104.858
-4.000,-0.824,4.000,17.151,-773.193,-29.419
