aX,aY,aZ,gX,gY,gZ
0.891,-0.129,0.314,16.541,1.221,8.789
0.873,-0.128,0.322,16.785,-5.066,5.310

0.255,-0.542,2.180,-86.304,-205.505,133.728
0.194,-0.102,2.818,-87.952,-193.481,164.673
0.053,0.441,3.455,-91.003,-169.800,190.125
-0.081,1.018,3.976,-69.092,-129.456,207.581
-0.191,1.696,4.000,-33.936,-61.584,221.619
-0.227,2.239,4.000,-18.555,21.973,181.152
-0.361,2.384,4.000,-53.162,98.145,83.557
-0.401,2.011,4.000,-115.723,160.706,-13.916
-0.433,1.485,4.000,-171.021,224.976,-80.017
-0.569,0.977,4.000,-183.777,302.795,-117.737
-0.782,0.441,3.751,-138.306,385.559,-135.742
-1.084,0.022,3.420,-84.656,452.271,-139.160
-1.166,-0.360,3.105,52.063,513.672,-143.677
-1.250,-0.249,2.120,242.310,570.374,-96.191
-1.365,-0.363,1.433,283.264,612.732,-78.430
-1.486,-0.661,1.027,115.967,599.426,-103.821
-1.383,-0.569,1.130,-19.531,572.876,-136.475
-1.767,-0.946,0.214,83.374,570.129,-155.396
-1.715,-0.715,-0.058,92.163,528.870,-146.729
-1.901,-1.035,-0.705,193.298,453.857,-119.263
-1.998,-1.203,-0.477,103.088,345.459,-86.182
-1.745,-1.379,-0.337,63.599,247.070,-37.659
-1.805,-1.398,-0.533,201.843,195.007,32.471
-2.118,-1.060,-0.944,288.025,156.067,120.117
-1.945,-0.236,-1.560,361.755,120.605,201.050
-1.621,0.726,-2.551,437.988,101.807,258.423
-0.699,1.255,-3.197,382.263,78.064,306.824
-0.562,2.290,-2.066,118.591,75.134,384.888
-0.424,3.939,-3.715,9.766,240.479,405.701
-0.217,4.000,-4.000,191.040,266.357,286.987
-0.148,4.000,-4.000,155.884,113.098,147.034
-0.404,4.000,-4.000,-10.925,-60.608,-24.719
-0.736,4.000,-3.582,-181.030,-181.763,-238.831
-1.149,3.017,-3.227,-328.796,-242.676,-437.927
-1.431,1.211,-3.289,-460.999,-297.302,-557.373
-1.592,-0.152,-3.160,-433.838,-391.113,-598.145
-1.906,-0.663,-2.288,-440.247,-532.776,-576.599
-2.514,-1.119,-1.302,-395.508,-632.812,-551.575
-2.229,-2.192,-0.694,-303.040,-686.707,-525.452
-2.459,-2.797,0.210,-352.356,-737.549,-410.095
-3.150,-2.925,1.033,-293.579,-786.621,-297.852
-3.989,-2.141,2.220,-201.355,-884.888,-184.509
-4.000,-1.703,3.607,-75.256,-1028.931,-61.951
-4.000,-0.968,4.000,-83.069,-1156.616,65.918
-4.000,0.154,4.000,-44.495,-1144.714,194.275
-4.000,1.356,4.000,34.302,-896.729,253.906
-4.000,1.884,4.000,109.924,-447.815,217.163
-4.000,1.709,4.000,73.486,90.149,101.257
-4.000,1.062,4.000,9.949,550.171,-1.587
-4.000,0.351,3.245,45.410,803.223,-82.336
-3.821,-0.220,1.367,125.793,919.373,-104.858
-3.238,-0.512,0.170,134.338,935.303,-80.505
-2.582,-0.556,-0.683,112.183,899.780,-43.945
-2.189,-0.484,-1.231,101.135,846.558,-13.794
-1.962,-0.290,-1.539,51.331,782.776,2.869
-1.984,0.054,-1.577,8.362,718.384,2.930
-1.943,0.526,-1.783,-12.329,664.490,-15.808
-1.470,0.690,-2.628,-50.964,657.410,-73.120
-0.087,-0.170,-3.996,-231.323,692.444,-198.120
0.662,-1.756,-4.000,-467.957,712.646,-344.543
0.556,-4.000,-4.000,-516.479,663.330,-457.825
-0.174,-4.000,-4.000,-511.292,480.896,-379.272
-1.298,-4.000,-4.000,-389.099,141.846,-143.372
-1.600,-3.422,-4.000,-237.122,-304.077,146.240
-2.010,-1.284,-3.970,-142.517,-672.546,320.068
-2.339,-0.231,-1.548,-200.989,-877.075,365.479
-2.404,0.137,0.437,-287.842,-892.822,349.731
-2.531,-0.171,1.714,-322.388,-818.359,286.621
-3.051,-0.433,3.005,-375.427,-770.264,256.531
-4.000,-0.191,4.000,-376.526,-756.226,322.327
-4.000,0.928,4.000,-142.334,-679.626,492.859
-4.000,1.990,4.000,327.576,-636.902,641.296
-3.992,2.763,4.000,468.323,-610.962,643.738
-3.177,3.192,4.000,468.628,-481.018,550.110
-2.568,3.278,4.000,344.055,-234.253,347.107
-2.100,2.953,4.000,145.447,89.966,145.142
-2.181,2.208,4.000,-43.213,390.320,-33.264
-2.154,1.452,2.708,-155.212,564.148,-181.213
-2.070,0.870,1.624,-222.473,635.986,-294.678
-1.938,0.328,0.700,-253.784,664.490,-384.216
-1.734,-0.187,-0.049,-262.268,660.278,-453.857
-1.470,-0.631,-0.492,-284.485,614.563,-509.399
-1.044,-1.202,-0.875,-283.264,549.561,-573.547
-0.289,-2.558,-2.046,-187.256,501.404,-603.271
0.014,-3.141,-2.319,-94.666,389.404,-484.680
0.303,-3.841,-2.529,-87.646,260.376,-392.822
0.299,-3.948,-2.052,-78.186,146.301,-291.138
0.765,-3.849,-1.770,-12.817,56.885,-167.297
0.888,-3.403,-1.223,13.000,-5.249,-45.349
0.810,-2.502,-0.785,53.833,-52.246,70.435
0.729,-1.549,-0.529,109.375,-72.693,153.625
0.663,-0.842,-0.286,106.873,-88.684,187.195
0.605,-0.349,0.007,77.454,-103.516,183.838
0.567,-0.070,0.276,50.659,-112.915,158.752
0.531,0.021,0.500,19.592,-114.746,123.657
0.494,-0.040,0.673,-2.441,-110.596,87.952
0.463,-0.143,0.841,-20.325,-105.957,61.951
0.441,-0.228,1.005,-27.527,-100.525,48.889
0.450,-0.266,1.146,-25.208,-91.797,46.082
0.463,-0.250,1.248,-19.775,-78.613,47.974
0.472,-0.201,1.290,-12.695,-62.134,50.476
0.486,-0.133,1.289,-7.141,-45.349,51.086
0.496,-0.077,1.250,-5.310,-29.358,47.668
0.503,-0.054,1.199,-8.301,-15.137,39.978
0.510,-0.055,1.131,-11.780,-3.113,30.884
0.522,-0.067,1.051,-13.306,7.568,22.339
0.528,-0.088,0.964,-13.428,17.212,14.099
0.549,-0.115,0.854,-11.963,25.146,6.348
0.572,-0.140,0.763,-10.681,29.602,-0.854
0.599,-0.169,0.684,-9.338,31.250,-7.507
0.613,-0.219,0.620,-9.766,30.945,-15.381
0.621,-0.286,0.572,-11.292,29.175,-22.278
0.621,-0.336,0.550,-12.146,26.062,-26.794
0.620,-0.389,0.537,-10.376,22.461,-29.175
0.623,-0.429,0.542,-7.812,18.372,-29.663
0.625,-0.465,0.563,-7.996,14.709,-29.480
0.636,-0.492,0.579,-9.705,12.695,-28.076
0.648,-0.502,0.567,-8.789,11.597,-25.391
0.653,-0.521,0.538,-6.775,9.583,-22.583

-0.321,-2.216,-1.043,-298.584,-329.590,-178.284
-0.350,-2.923,-0.765,-316.284,-421.570,-95.093
-0.667,-3.143,-0.303,-273.682,-503.113,33.203
-1.540,-2.826,0.379,-177.185,-577.881,183.350
-2.318,-2.198,1.207,-76.294,-642.395,321.716
-2.882,-1.495,2.045,-5.127,-680.359,419.800
-3.431,-0.830,2.747,39.856,-678.650,477.295
-3.804,-0.316,3.273,56.396,-637.573,494.873
-3.918,0.149,3.704,46.387,-572.937,489.014
-3.912,0.591,4.000,46.509,-494.934,478.455
-3.629,0.919,4.000,55.359,-401.917,435.852
-3.207,1.136,4.000,42.542,-280.457,360.535
-2.756,1.233,4.000,12.085,-136.780,273.254
-2.510,1.124,3.618,-59.448,19.470,168.274
-2.266,0.856,2.794,-152.527,157.410,59.326
-2.130,0.423,2.067,-220.581,254.883,-40.771
-2.081,-0.059,1.568,-256.653,310.059,-117.065
-2.010,-0.442,1.321,-253.113,333.557,-148.743
-1.958,-0.649,1.234,-214.417,341.736,-143.005
-1.781,-0.894,1.261,-165.405,345.276,-114.319
-1.847,-0.994,1.804,-96.863,362.854,-70.496
-1.739,-0.740,1.720,176.941,402.527,33.630
-1.883,-0.447,1.372,207.031,469.727,99.060
-2.055,-0.175,0.953,166.809,530.334,134.338
-2.244,0.061,0.517,121.826,577.393,154.907
-1.959,0.308,0.015,90.454,616.760,162.842
-1.479,0.574,-0.527,80.750,642.273,167.114
-0.970,0.815,-1.116,66.345,658.691,168.274
-0.491,1.111,-1.951,60.303,686.279,181.213
-0.065,1.480,-3.136,78.796,741.760,218.628
-0.905,1.947,-4.000,129.333,780.273,262.085
-1.249,2.850,-4.000,178.955,754.944,305.664
-1.104,3.458,-4.000,222.412,572.632,251.282
-0.648,3.542,-4.000,142.334,254.761,119.751
-0.420,3.223,-4.000,-60.181,-78.430,-50.964
-0.975,2.478,-3.756,-186.890,-343.262,-210.205
-1.878,1.441,-2.273,-234.070,-546.265,-351.013
-2.515,0.666,-0.893,-342.407,-703.430,-435.852
-3.224,-0.030,0.010,-268.982,-789.429,-483.337
-3.992,-0.451,0.861,-203.979,-849.304,-501.831
-4.000,-0.621,1.639,-69.092,-924.316,-505.737
-4.000,-0.677,2.730,77.454,-1020.996,-471.130
-4.000,-1.070,4.000,100.952,-1135.986,-481.812
