aX,aY,aZ,gX,gY,gZ
-0.714,1.932,1.616,-72.327,-42.053,34.180
-0.842,2.469,1.744,-87.952,-10.071,-6.104
-1.034,3.069,1.708,-83.557,31.128,-73.242
-1.254,3.475,1.556,-59.814,77.454,-168.945
-1.497,3.468,1.321,-26.733,122.559,-287.781
-1.643,2.968,0.967,8.301,166.992,-414.917
-1.817,2.234,0.526,39.185,207.092,-526.489
-2.066,1.566,0.188,62.988,228.760,-606.995
-2.231,1.195,0.086,81.116,232.788,-664.062
-2.446,1.023,-0.043,94.299,233.887,-711.182
-2.924,0.849,-0.345,108.093,240.356,-765.503
-3.404,0.187,-0.727,107.544,244.446,-838.806
-3.593,-0.592,-1.073,84.351,236.938,-900.391
-3.916,-1.488,-1.651,61.462,225.342,-925.537
-3.508,-2.867,-2.823,-0.122,208.557,-916.809
-2.979,-4.000,-2.380,-2.197,101.868,-897.217
-2.379,-4.000,-1.781,6.653,23.621,-827.942
-1.517,-4.000,-1.191,36.377,3.052,-721.802
-0.777,-4.000,-0.432,92.407,-12.085,-567.810
-0.530,-4.000,0.217,90.454,-28.687,-356.995
-0.558,-4.000,0.285,84.473,-47.302,-132.751
-0.636,-4.000,0.317,101.196,-59.570,0.183
-0.599,-4.000,-0.180,80.261,-14.587,110.413
-0.369,-3.346,-0.618,63.049,12.085,208.374
-0.053,-2.762,-0.746,59.082,8.911,262.756
0.041,-2.618,-0.648,55.176,-1.587,284.180
-0.011,-2.512,-0.500,43.518,-14.771,300.415
0.014,-2.331,-0.491,23.071,-21.057,325.012
0.068,-2.206,-0.503,-5.676,-21.912,342.529
0.110,-2.059,-0.433,-35.645,-24.048,351.013
0.150,-1.854,-0.336,-53.528,-31.250,356.628
0.156,-1.586,-0.214,-61.584,-40.466,361.145
0.125,-1.316,-0.082,-66.650,-47.668,362.610
0.089,-1.021,0.022,-68.420,-51.514,363.586
0.082,-0.754,0.067,-68.054,-51.941,362.671
0.094,-0.581,0.092,-66.772,-50.598,356.018
0.108,-0.463,0.083,-61.462,-51.086,348.145
0.099,-0.368,0.090,-53.467,-54.199,342.407
0.062,-0.264,0.112,-44.617,-58.167,338.501
0.020,-0.134,0.111,-35.400,-62.378,334.473
0.025,0.008,0.111,-24.902,-66.833,328.247
0.030,0.111,0.109,-14.160,-71.838,319.214
0.057,0.246,0.082,-3.662,-77.393,308.472
0.068,0.340,0.082,5.188,-84.595,293.701
0.075,0.423,0.109,16.479,-91.003,275.330
0.110,0.462,0.104,24.902,-94.788,253.174
0.155,0.450,0.060,32.715,-101.624,234.314
0.142,0.417,0.082,43.274,-117.981,222.534
0.142,0.419,0.193,54.382,-143.738,223.267
0.121,0.465,0.332,58.105,-162.292,224.487
0.115,0.517,0.395,64.880,-169.617,218.628
0.111,0.532,0.465,67.200,-173.096,207.397
0.095,0.529,0.568,63.049,-174.316,194.458
0.081,0.535,0.689,55.664,-172.546,181.458
0.091,0.548,0.793,44.434,-165.283,168.335
0.124,0.535,0.862,26.611,-152.527,153.442
0.163,0.533,0.891,10.803,-136.841,141.113
0.197,0.539,0.880,-1.099,-121.643,132.263
0.222,0.553,0.880,-8.545,-107.544,125.244
0.255,0.583,0.891,-12.695,-94.788,119.263
